E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
1.041e+03         1.642e+01         1.270e+05         2.545e-02         2.915e-01         1.011e-14
1.046e+03         1.648e+01         1.275e+05         2.541e-02         2.921e-01         1.020e-14
1.050e+03         1.654e+01         1.279e+05         2.538e-02         2.927e-01         1.029e-14
1.055e+03         1.659e+01         1.284e+05         2.534e-02         2.933e-01         1.038e-14
1.060e+03         1.665e+01         1.288e+05         2.531e-02         2.939e-01         1.047e-14
1.065e+03         1.671e+01         1.293e+05         2.527e-02         2.945e-01         1.056e-14
1.069e+03         1.677e+01         1.297e+05         2.524e-02         2.951e-01         1.065e-14
1.074e+03         1.683e+01         1.302e+05         2.520e-02         2.957e-01         1.075e-14
1.079e+03         1.688e+01         1.306e+05         2.517e-02         2.963e-01         1.084e-14
1.084e+03         1.694e+01         1.311e+05         2.514e-02         2.969e-01         1.093e-14
1.088e+03         1.700e+01         1.315e+05         2.510e-02         2.974e-01         1.102e-14
1.093e+03         1.706e+01         1.320e+05         2.507e-02         2.980e-01         1.111e-14
1.098e+03         1.712e+01         1.324e+05         2.504e-02         2.986e-01         1.120e-14
1.102e+03         1.717e+01         1.329e+05         2.501e-02         2.992e-01         1.130e-14
1.107e+03         1.723e+01         1.333e+05         2.497e-02         2.998e-01         1.139e-14
1.112e+03         1.729e+01         1.338e+05         2.494e-02         3.004e-01         1.148e-14
1.117e+03         1.735e+01         1.342e+05         2.491e-02         3.010e-01         1.157e-14
1.121e+03         1.741e+01         1.347e+05         2.487e-02         3.016e-01         1.166e-14
1.126e+03         1.747e+01         1.351e+05         2.484e-02         3.022e-01         1.176e-14
1.131e+03         1.752e+01         1.356e+05         2.481e-02         3.028e-01         1.185e-14
1.136e+03         1.758e+01         1.360e+05         2.478e-02         3.034e-01         1.194e-14
1.140e+03         1.764e+01         1.365e+05         2.475e-02         3.040e-01         1.204e-14
1.145e+03         1.770e+01         1.369e+05         2.472e-02         3.046e-01         1.213e-14
1.150e+03         1.776e+01         1.374e+05         2.469e-02         3.052e-01         1.223e-14
1.154e+03         1.781e+01         1.378e+05         2.465e-02         3.057e-01         1.232e-14
1.159e+03         1.787e+01         1.383e+05         2.462e-02         3.063e-01         1.241e-14
1.164e+03         1.793e+01         1.387e+05         2.459e-02         3.069e-01         1.251e-14
1.169e+03         1.799e+01         1.392e+05         2.456e-02         3.075e-01         1.260e-14
1.173e+03         1.804e+01         1.396e+05         2.453e-02         3.081e-01         1.270e-14
1.178e+03         1.810e+01         1.400e+05         2.450e-02         3.087e-01         1.279e-14
1.183e+03         1.816e+01         1.405e+05         2.447e-02         3.092e-01         1.289e-14
1.188e+03         1.822e+01         1.409e+05         2.444e-02         3.098e-01         1.298e-14
1.192e+03         1.827e+01         1.414e+05         2.441e-02         3.104e-01         1.308e-14
1.197e+03         1.833e+01         1.418e+05         2.438e-02         3.110e-01         1.317e-14
1.202e+03         1.839e+01         1.423e+05         2.435e-02         3.116e-01         1.327e-14
1.207e+03         1.845e+01         1.427e+05         2.432e-02         3.122e-01         1.336e-14
1.211e+03         1.851e+01         1.432e+05         2.429e-02         3.127e-01         1.346e-14
1.216e+03         1.856e+01         1.436e+05         2.427e-02         3.133e-01         1.355e-14
